Ethnicity,Groups of People,Obesity Rates,Age
White,Non-Hispanic White boys,17.4,Boy
Black, Non-Hispanic Black boys,19.4,Boy
Asian,Non-Hispanic Asian boys,12.4,Boy
Hispanic,Hispanic boys,28.1,Boy
Mexican American,Mexican American boys,29.2,Boy
White,Non-Hispanic White girls,14.8,Girl
Black,Non-Hispanic Black girls,29.1,Girl
Asian,Non-Hispanic Asian girls,5.1,Girl
Hispanic,Hispanic girls,23,Girl
Mexican American,Mexican American girls,24.9,Girl
White,Non-Hispanic White men,44.7,Men
Black,Non-Hispanic Black men,41.1,Men
Asian,Non-Hispanic Asian men,17.5,Men
Hispanic,Hispanic men,45.7,Men
Mexican American,Mexican American men,51.1,Men
White,Non-Hispanic White women,39.8,Women
Black,Non-Hispanic Black women,56.9,Women
Asian,Non-Hispanic Asian women,17.2,Women
Hispanic,Hispanic women,43.7,Women
Mexican American,Mexican American women,49.6,Women
